"id"	"type"	"sourceUrl"	"title"	"desc"	"desc1"	"desc2"	"imgUrl"	"show"	"price"	"btnTxt"
"1"	"book"	"http://www.duokan.com/book/115222"	"哈利·波特与魔法石"	"哈利波特来了"	""	""	"//i3.mifile.cn/a4/8e3584b6-3169-41c6-9356-939ec79aac2b"	"0"	""	""
"2"	"book"	"http://www.duokan.com/special/7812"	"特价专区"	"精选畅销好书，特价促销，天天更新，天天特价！"	""	""	"//i3.mifile.cn/a4/T1dlVgBbbT1RXrhCrK.jpg"	"1"	"限时优惠"	""
"3"	"book"	"http://www.duokan.com/""list""/9-1"	"杂志专区"	"纸媒杂志＋互联网杂志，你想看的这都有！"	""	""	"//i3.mifile.cn/a4/T1R3WgBjKT1RXrhCrK.jpg"	"1"	"同步新刊上线"	""
"4"	"book"	"http://www.duokan.com/""list""/1-1?from=xiaomi"	""	""	"海量好书，享受精品阅读时光"	"漂亮的中文排版，千万读者选择！"	"//s01.mifile.cn/i/index/more-duokan.jpg"	"2"	"限时优惠"	"前往多看阅读"
"5"	"theme"	"http://zhuti.xiaomi.com/detail/4ecf4ebb-7cba-4142-96aa-6b8deb2426ef"	"新世纪福音战士OL"	"EVA手游正版授权，同名主题，高能来袭！"	""	""	"http://i3.mifile.cn/a4/7d47dde1-60fb-4ff3-8fa1-364cfc452457"	"1"	"免费"	""
"6"	"theme"	"http://zhuti.xiaomi.com/detail/d6277519-ca46-420c-ab09-060f6d293f94"	"世界就在这里"	"青春的世界里，每一刻都要用尽全力欢呼"	""	""	"http://i3.mifile.cn/a4/b2c8ca37-4ba8-4af8-b87e-91847980a278"	"1"	"免费"	""
"7"	"theme"	"http://zhuti.xiaomi.com/detail/13df18d4-e52c-4a61-82e3-97014f21bd77"	"不悔剑三"	"精品剑网三同人主题 浪漫武侠 共闯天涯"	""	""	"http://i3.mifile.cn/a4/10af68f9-3012-48bb-85b1-ad3b0646dfdb"	"1"	"3米币"	""
"8"	"theme"	"http://zhuti.xiaomi.com/?from=mi"	""	""	"众多个性主题、百变锁屏与自由桌面"	"让你的手机与众不同！"	"//s01.mifile.cn/i/index/more-duokan.jpg"	"2"	"限时优惠"	"前往MIUI主题市场"
"9"	"game"	"http://ljm.mi.com/?channel=meng_1084_1_android"	"老九门"	"盗墓笔记前传上线"	""	""	"http://i3.mifile.cn/a4/6032cb36-587f-4366-89ef-aefed2546552"	"1"	"免费"	""
"10"	"game"	"http://game.xiaomi.com/miyou/index.html"	"米柚手游模拟器"	"在电脑上玩遍小米所有手游"	""	""	"//i3.mifile.cn/a4/T1czW_BXCv1R4cSCrK.png"	"1"	"免费"	""
"11"	"game"	"http://game.xiaomi.com/app-appdetail--app_id__581412.html"	"剑侠情缘"	"玩剑侠情缘手游，领666壕礼！！"	""	""	"http://i3.mifile.cn/a4/010948ae-bd48-49c6-af12-4ec8c4a0c829"	"1"	"免费"	""
"12"	"game"	"http://game.xiaomi.com/index.php?c=index&a=run"	""	""	"免费下载海量的手机游戏"	"天天都有现金福利赠送"	"//s01.mifile.cn/i/index/more-game.jpg"	"2"	"限时优惠"	"前往小米游戏商店"
"13"	"app"	"http://app.mi.com/subject/168797"	"2015年度应用"	"2015年度应用"	""	""	"//i3.mifile.cn/a4/T1YyJgBCYv1R4cSCrK.png"	"1"	"免费"	""
"14"	"app"	"http://app.mi.com/subject/168798"	"2015年度游戏"	"2015年度游戏"	""	""	"//i3.mifile.cn/a4/T1eaxgB4Ev1R4cSCrK.png"	"1"	"免费"	""
"15"	"app"	"http://app.mi.com/subject/167924"	"小米应用"	"小米出品 必属精品"	""	""	"//i3.mifile.cn/a4/T15VZvB5Kv1R4cSCrK.png"	"1"	"免费"	""
"16"	"app"	"http://app.mi.com/?from=mi"	""	""	"帮助小米手机和其他安卓手机用户"	"发现好用的安卓应用"	"//s01.mifile.cn/i/index/more-app.jpg"	"2"	"限时优惠"	"前往小米应用商店"
