"id"	"type"	"name"	"imgUrl"	"sourcePath"	"price"
"1"	"xiaomi"	"小米Max"	"http://c1.mifile.cn/f/i/15/goods/nav/maxdingbu!160x110.jpg"	"http://www.mi.com/mimax/"	"1299元起"
"2"	"xiaomi"	"小米手机5"	"http://c1.mifile.cn/f/i/16/goods/nav/mi5!160x110.jpg"	"http://www.mi.com/mimax/"	"1499元起"
"3"	"xiaomi"	"小米手机4c"	"http://c1.mifile.cn/f/i/15/goods/nav/mi4c!160x110.jpg"	"http://www.mi.com/mimax/"	"1099元"
"4"	"red"	"红米pro"	"http://c1.mifile.cn/f/i/g/2015/cn-index/hongmipro-320!160x110.jpg"	"http://www.mi.com/mimax/"	"1499元起"
"5"	"red"	"红米note3"	"http://c1.mifile.cn/f/i/g/2015/video/hongmi3s!160x110.jpg"	"http://www.mi.com/mimax/"	"899元起"
"6"	"red"	"红米手机3S"	"http://c1.mifile.cn/f/i/15/goods/nav/note3!160x110.jpg"	"http://www.mi.com/mimax/"	"699元起"
"7"	"red"	"红米手机3"	"http://c1.mifile.cn/f/i/15/goods/nav/hongmi3!160x110.jpg"	"http://www.mi.com/mimax/"	"699元起"
"8"	"red"	"红米手机3X"	"http://c1.mifile.cn/f/i/g/doodle/320-220!160x110.jpg"	"http://www.mi.com/mimax/"	"799元"
"9"	"flats"	"小米平板2 16GB"	"http://c1.mifile.cn/f/i/g/2015/cn-index/hongmipro-320!160x110.jpg"	"http://www.mi.com/mimax/"	"999元"
"10"	"flats"	"小米平板2 64GB"	"http://c1.mifile.cn/f/i/15/goods/nav/mipad2-64!160x110.jpg"	"http://www.mi.com/mimax/"	"1299元"
"11"	"flats"	"小米平板2 64GB Windows版"	"http://c1.mifile.cn/f/i/15/goods/nav/mipad2-64-win!160x110.jpg"	"http://www.mi.com/mimax/"	"1299元"
"12"	"flats"	"小米笔记本Air 12.5"	"http://c1.mifile.cn/f/i/g/2015/video/bijiben32012.5!160x110.jpg"	"http://www.mi.com/mimax/"	"3499元"
"13"	"flats"	"小米笔记本Air 13.3"	"http://c1.mifile.cn/f/i/g/2015/cn-index/bijiben320!160x110.jpg"	"http://www.mi.com/mimax/"	"4499元"
"14"	"tv"	"小米电视3S 43英寸"	"http://c1.mifile.cn/f/i/16/goods/nav/mitv3s-43!160x110.jpg"	"http://www.mi.com/mitv3s/43/"	"1499元"
"15"	"tv"	"小米电视3S 48英寸"	"http://c1.mifile.cn/f/i/15/goods/nav/mitv3s48!160x110.jpg"	"http://www.mi.com/mitv3s/48/"	"1999元"
"16"	"tv"	"小米电视3 55英寸"	"http://c1.mifile.cn/f/i/15/goods/nav/mitv355!160x110.jpg"	"http://www.mi.com/mitv3/55/"	"3299元起"
"17"	"tv"	"小米电视3 60英寸"	"http://c1.mifile.cn/f/i/15/goods/nav/mitv3-60!160x110.jpg"	"http://www.mi.com/mitv3/60/"	"3499元"
"18"	"tv"	"小米电视3S 65英寸 曲面"	"http://c1.mifile.cn/f/i/16/goods/nav/mitv3s-65!160x110.jpg"	"http://www.mi.com/mimax/"	"8999元"
"19"	"tv"	"小米电视3 70英寸"	"http://c1.mifile.cn/f/i/15/goods/nav/mitv70!160x110.jpg"	"http://www.mi.com/mitv3/70/"	"8999元"
"20"	"router"	"全新小米路由器"	"http://c1.mifile.cn/f/i/16/goods/nav/mitv3s-43!160x110.jpg"	"http://www.mi.com/mitv3s/43/"	"699元起"
"21"	"router"	"小米路由器  3"	"http://c1.mifile.cn/f/i/15/goods/nav/miwifi-3!160x110.jpg"	"http://www.mi.com/miwifi3/"	"149元"
"22"	"router"	"小米路由器  mini"	"http://c1.mifile.cn/f/i/15/goods/nav/miwifimini!160x110.jpg"	"http://www.mi.com/miwifimini/"	"119元"
"23"	"router"	"小米路由器  3C"	" http://c1.mifile.cn/f/i/15/goods/nav/mitv3-60!160x110.jpg"	"http://www.mi.com/mitv3/60/"	"69元"
"24"	"router"	"小米路由器  青春版"	"http://c1.mifile.cn/f/i/15/goods/nav/miwifilite!160x110.jpg"	"http://www.mi.com/miwifilite/"	"69元"
"25"	"router"	"小米WiFi放大器"	"http://c1.mifile.cn/f/i/15/goods/nav/wifiExtension!160x110.jpg"	"http://item.mi.com/1153200003.html"	"35元"
"26"	"box"	"小米盒子mini版"	"http://c1.mifile.cn/f/i/15/goods/nav/hezimini.png"	"http://www.mi.com/hezimini/"	"179元"
"27"	"box"	"小米盒子3"	"http://c1.mifile.cn/f/i/15/goods/nav/hezi3.png"	"http://www.mi.com/hezimini/"	"69元"
"28"	"box"	"小米盒子3 增强版"	"http://c1.mifile.cn/f/i/15/goods/nav/hezi3s!160x110.jpg"	"http://www.mi.com/hezimini/"	"179元'"
