"id"	"type"	"sourceUrl"	"buyUrl"	"imgUrl"	"name"	"buyStatus"
"1"	"phones"	"//www.mi.com/mi5/"	"//item.mi.com/buyphone/mi5"	"http://c1.mifile.cn/f/i/15/goods/list/mi5bar80.jpg?width=40&height=40"	"小米手机5"	"true"
"2"	"phones"	"//www.mi.com/mimax/"	"//item.mi.com/buyphone/mimax"	"http://c1.mifile.cn/f/i/15/goods/sidebar/maxbar80.jpg?width=40&height=40"	"小米Max"	"true"
"3"	"phones"	"//www.mi.com/note3/pro/"	"//item.mi.com/buyphone/note3"	"http://c1.mifile.cn/f/i/15/goods/sidebar/note3.jpg?width=40&height=40"	"小米Note3"	"true"
"4"	"phones"	"//www.mi.com/hongmi3s/"	"//item.mi.com/buyphone/hongmi3s"	"http://c1.mifile.cn/f/i/g/2015/video/hm3s80x80.jpg?width=40&height=40"	"红米手机3S"	"true"
"5"	"phones"	"//www.mi.com/redmipro/"	"//item.mi.com/buyphone/redmipro/"	"http://c1.mifile.cn/f/i/15/goods/sidebar/hongmi3.jpg?width=40&height=40"	"红米Pro"	"true"
"6"	"phones"	"//www.mi.com/hongmi3/"	"//item.mi.com/buyphone/hongmi3/"	"http://c1.mifile.cn/f/i/15/goods/list/mi5bar80.jpg?width=40&height=40"	"红米手机3"	"true"
"7"	"phones"	"//www.mi.com/hongmi3x/"	"//item.mi.com/buyphone/hongmi3x"	"http://c1.mifile.cn/f/i/g/2015/video/3X80.jpg?width=40&height=40"	"红米手机3X"	"true"
"8"	"phones"	"//heyue.mi.com/"	"//item.mi.com/buyphone/mi5"	"http://c1.mifile.cn/f/i/15/goods/sidebar/heyue.jpg?width=40&height=40"	"合约机"	"false"
"9"	"phones"	"//www.mi.com/compare/"	"//item.mi.com/buyphone/mi5"	"http://c1.mifile.cn/f/i/15/goods/sidebar/compare.jpg?width=40&height=40"	"对比手机"	"false"
"10"	"phones"	"//www.mi.com/mimobile/"	"//item.mi.com/buyphone/mi5"	"http://c1.mifile.cn/f/i/15/goods/sidebar/mimobile.jpg?width=40&height=40"	"小米移动 电话卡"	"false"
